Model Architecture,Parameter Count (Millions),Model Size on Disk (MB),GPU Inference Latency (ms/sample),CPU Inference Latency (ms/sample),GPU Throughput (Samples/sec),Memory Footprint (VRAM MB),F1-Score (%)
Traditional Baseline: TF-IDF + Linear SVM,0.03 M,8.2 MB,0.42 ms,1.15 ms,2380.0,0.0 MB,69.64%
Multilingual BERT (mBERT) - Sentence,177.85 M,714.2 MB,12.35 ms,64.20 ms,81.0,1420.5 MB,72.57%
Pure XLM-RoBERTa (Without Fusion),278.04 M,1114.5 MB,28.07 ms,142.50 ms,35.6,2180.2 MB,72.34%
XLM-RoBERTa + Preprocessing (Without Fusion),278.04 M,1114.6 MB,28.85 ms,144.10 ms,34.7,2180.5 MB,88.60%
Proposed: Knowledge-Enhanced Fusion Framework (Full Pipeline),278.04 M,1114.8 MB,29.92 ms,148.30 ms,33.4,2184.0 MB,96.44%
